site;management;DBH (cm);hollow;DBHclass
KRIVE;pollard;105;1;4
KRIVE;pollard;76;1;3
KRIVE;pollard;140;1;5
KRIVE;pollard;84;1;3
KRIVE;pollard;108;1;4
KRIVE;pollard;115;1;4
KRIVE;pollard;88;1;3
KRIVE;pollard;70;1;3
KRIVE;pollard;146;1;5
KRIVE;pollard;73;1;3
KRIVE;pollard;76;1;3
KRIVE;pollard;143;1;5
KRIVE;pollard;111;1;4
KRIVE;pollard;167;1;6
KRIVE;pollard;191;1;7
KRIVE;pollard;162;1;6
KRIVE;pollard;156;1;6
KRIVE;pollard;151;1;6
KRIVE;pollard;182;1;7
KRIVE;pollard;67;0;3
KRIVE;pollard;41;0;2
KRIVE;pollard;110;1;4
KRIVE;pollard;118;1;4
KRIVE;pollard;115;1;4
KRIVE;pollard;61;0;3
KRIVE;pollard;99;1;4
KRIVE;pollard;64;0;3
KRIVE;pollard;76;1;3
KRIVE;pollard;86;1;3
KRIVE;pollard;67;1;3
KRIVE;pollard;92;1;4
KRIVE;pollard;121;1;5
KRIVE;pollard;73;1;3
KRIVE;pollard;67;1;3
KRIVE;pollard;83;1;3
KRIVE;pollard;83;1;3
KRIVE;pollard;91;1;4
KRIVE;pollard;99;1;4
KRIVE;pollard;115;0;4
KRIVE;pollard;143;1;5
KRIVE;pollard;124;1;5
KRIVE;pollard;121;1;5
KRIVE;pollard;22;0;1
KRIVE;pollard;134;1;5
KRIVE;pollard;73;1;3
KRIVE;pollard;102;1;4
KRIVE;pollard;48;0;2
KRIVE;pollard;102;1;4
KRIVE;pollard;105;1;4
KRIVE;pollard;121;1;5
KRIVE;pollard;61;0;3
KRIVE;pollard;67;0;3
KRIVE;pollard;80;0;3
KRIVE;pollard;92;0;4
KRIVE;pollard;57;1;2
KRIVE;pollard;131;1;5
KRIVE;pollard;89;0;3
KRIVE;pollard;172;1;6
KRIVE;pollard;137;0;5
KRIVE;pollard;61;1;3
KRIVE;pollard;76;0;3
KRIVE;pollard;73;0;3
KRIVE;pollard;32;0;2
KRIVE;pollard;140;1;5
KRIVE;pollard;102;1;4
KRIVE;pollard;194;1;7
KRIVE;pollard;92;1;4
KRIVE;pollard;148;1;5
KRIVE;pollard;51;0;2
KRIVE;pollard;70;0;3
KRIVE;pollard;57;0;2
KRIVE;pollard;68;1;3
KRIVE;pollard;124;1;5
KRIVE;pollard;188;1;7
KRIVE;pollard;150;1;5
KRIVE;pollard;143;1;5
KRIVE;pollard;150;1;5
KRIVE;pollard;137;1;5
KRIVE;pollard;76;1;3
KRIVE;pollard;99;1;4
KRIVE;pollard;121;1;5
KRIVE;pollard;121;1;5
KRIVE;pollard;118;1;4
KRIVE;pollard;57;1;2
KRIVE;pollard;73;1;3
KRIVE;pollard;159;0;6
KRIVE;pollard;41;0;2
KRIVE;pollard;102;1;4
KRIVE;pollard;102;1;4
KRIVE;pollard;118;1;4
KRIVE;pollard;100;1;4
KRIVE;pollard;108;1;4
KRIVE;pollard;137;1;5
KRIVE;pollard;134;1;5
KRIVE;pollard;76;1;3
KRIVE;pollard;102;0;4
KRIVE;pollard;76;0;3
KRIVE;pollard;62;0;3
KRIVE;pollard;121;0;5
KRIVE;pollard;57;1;2
KRIVE;pollard;131;1;5
KRIVE;pollard;105;1;4
KRIVE;pollard;134;1;5
KRIVE;pollard;108;1;4
KRIVE;pollard;102;0;4
KRIVE;pollard;153;1;6
KRIVE;pollard;88;1;3
KRIVE;pollard;156;1;6
KRIVE;pollard;120;1;5
KRIVE;pollard;188;1;7
KRIVE;pollard;166;1;6
KRIVE;pollard;54;1;2
KRIVE;pollard;92;1;4
KRIVE;pollard;178;1;6
KRIVE;pollard;102;0;4
KRIVE;pollard;61;1;3
KRIVE;pollard;153;1;6
KRIVE;pollard;70;1;3
KRIVE;pollard;153;1;6
KRIVE;pollard;96;1;4
KRIVE;pollard;64;0;3
KRIVE;pollard;143;1;5
KRIVE;pollard;35;0;2
KRIVE;pollard;92;0;4
KRIVE;pollard;111;1;4
KRIVE;pollard;102;1;4
KRIVE;pollard;89;0;3
KRIVE;pollard;83;1;3
KRIVE;pollard;102;1;4
KRIVE;pollard;80;1;3
KRIVE;pollard;80;1;3
KRIVE;pollard;96;1;4
KRIVE;pollard;105;1;4
KRIVE;pollard;96;1;4
KRIVE;pollard;51;0;2
KRIVE;pollard;92;1;4
KRIVE;pollard;92;1;4
KRIVE;pollard;102;1;4
KRIVE;pollard;96;1;4
KRIVE;pollard;83;1;3
KRIVE;pollard;86;1;3
KRIVE;pollard;89;1;3
KRIVE;pollard;76;1;3
KRIVE;pollard;92;1;4
KRIVE;pollard;83;1;3
KRIVE;pollard;80;1;3
KRIVE;pollard;92;1;4
KRIVE;pollard;70;1;3
KRIVE;pollard;80;0;3
KRIVE;pollard;73;1;3
KRIVE;pollard;76;1;3
KRIVE;pollard;89;1;3
KRIVE;pollard;89;0;3
KRIVE;pollard;92;1;4
KRIVE;pollard;86;0;3
KRIVE;pollard;80;1;3
KRIVE;pollard;80;0;3
KRIVE;pollard;46;0;2
KRIVE;pollard;96;1;4
KRIVE;pollard;76;1;3
KRIVE;pollard;151;1;6
KRIVE;pollard;118;1;4
KRIVE;pollard;99;1;4
KRIVE;pollard;124;1;5
KRIVE;pollard;64;1;3
KRIVE;pollard;56;0;2
KRIVE;pollard;92;1;4
KRIVE;pollard;121;1;5
KRIVE;pollard;169;1;6
KRIVE;pollard;201;1;7
KRIVE;pollard;126;1;5
KRIVE;pollard;83;1;3
KRIVE;pollard;76;0;3
KRIVE;pollard;75;0;3
KRIVE;pollard;83;0;3
KRIVE;pollard;70;0;3
KRIVE;pollard;94;1;4
KRIVE;pollard;135;1;5
KRIVE;pollard;188;1;7
KRIVE;pollard;48;0;2
KRIVE;pollard;92;0;4
KRIVE;pollard;119;1;4
KRIVE;pollard;134;1;5
KRIVE;pollard;143;1;5
KRIVE;pollard;223;1;0
KRIVE;pollard;32;0;2
KRIVE;pollard;67;1;3
KRIVE;pollard;51;0;2
KRIVE;pollard;96;0;4
KRIVE;pollard;46;0;2
KRIVE;pollard;104;1;4
KRIVE;pollard;132;1;5
KRIVE;pollard;86;0;3
KRIVE;pollard;54;0;2
KRIVE;pollard;102;1;4
KRIVE;pollard;32;1;2
KRIVE;pollard;123;1;5
KRIVE;pollard;121;1;5
KRIVE;pollard;57;0;2
KRIVE;pollard;134;0;5
KRIVE;pollard;59;0;2
KRIVE;pollard;57;0;2
KRIVE;pollard;151;1;6
KRIVE;pollard;56;0;2
KRIVE;pollard;80;0;3
