time;year;individual;ringwidth (mm);management
1;1990;1;2,06;UNMAN
2;1991;1;3,36;UNMAN
3;1992;1;2;UNMAN
4;1993;1;3,62;UNMAN
5;1994;1;5,18;UNMAN
6;1995;1;3,8;UNMAN
7;1996;1;1,38;UNMAN
8;1997;1;2,06;UNMAN
9;1998;1;2,6;UNMAN
10;1999;1;2,7;UNMAN
11;2000;1;1,93;UNMAN
12;2001;1;6,14;UNMAN
13;2002;1;8,1;UNMAN
14;2003;1;2,98;UNMAN
15;2004;1;4,85;UNMAN
16;2005;1;4,7;UNMAN
17;2006;1;1,7;UNMAN
18;2007;1;0,88;UNMAN
19;2008;1;2,13;UNMAN
20;2009;1;1,62;UNMAN
21;2010;1;1,82;UNMAN
22;2011;1;1;UNMAN
1;1990;2;6,98;UNMAN
2;1991;2;5,48;UNMAN
3;1992;2;3,32;UNMAN
4;1993;2;2,68;UNMAN
5;1994;2;5,07;UNMAN
6;1995;2;6,39;UNMAN
7;1996;2;2,72;UNMAN
8;1997;2;2,59;UNMAN
9;1998;2;4,3;UNMAN
10;1999;2;3,52;UNMAN
11;2000;2;2,18;UNMAN
12;2001;2;4,78;UNMAN
13;2002;2;6,19;UNMAN
14;2003;2;1,92;UNMAN
15;2004;2;3,45;UNMAN
16;2005;2;2,14;UNMAN
17;2006;2;1,05;UNMAN
18;2007;2;1,71;UNMAN
19;2008;2;2,2;UNMAN
20;2009;2;4,74;UNMAN
21;2010;2;3,78;UNMAN
22;2011;2;1,08;UNMAN
1;1990;3;3,28;UNMAN
2;1991;3;3,72;UNMAN
3;1992;3;3,74;UNMAN
4;1993;3;2,24;UNMAN
5;1994;3;3;UNMAN
6;1995;3;0,98;UNMAN
7;1996;3;0,39;UNMAN
8;1997;3;1,62;UNMAN
9;1998;3;3,29;UNMAN
10;1999;3;3,2;UNMAN
11;2000;3;2,66;UNMAN
12;2001;3;5;UNMAN
13;2002;3;4,86;UNMAN
14;2003;3;1,76;UNMAN
15;2004;3;2,68;UNMAN
16;2005;3;1,02;UNMAN
17;2006;3;0,52;UNMAN
18;2007;3;0,4;UNMAN
19;2008;3;0,36;UNMAN
20;2009;3;1,4;UNMAN
21;2010;3;1,38;UNMAN
22;2011;3;2,1;UNMAN
1;1990;4;2,21;UNMAN
2;1991;4;3,31;UNMAN
3;1992;4;2,54;UNMAN
4;1993;4;1,11;UNMAN
5;1994;4;3,71;UNMAN
6;1995;4;1,8;UNMAN
7;1996;4;1,12;UNMAN
8;1997;4;1,61;UNMAN
9;1998;4;2,01;UNMAN
10;1999;4;2,6;UNMAN
11;2000;4;0,4;UNMAN
12;2001;4;3,94;UNMAN
13;2002;4;4,16;UNMAN
14;2003;4;1,96;UNMAN
15;2004;4;2,16;UNMAN
16;2005;4;1,23;UNMAN
17;2006;4;0,4;UNMAN
18;2007;4;0,18;UNMAN
19;2008;4;0,46;UNMAN
20;2009;4;0,78;UNMAN
21;2010;4;3,71;UNMAN
22;2011;4;1,52;UNMAN
1;1990;5;8,32;UNMAN
2;1991;5;11,86;UNMAN
3;1992;5;9,74;UNMAN
4;1993;5;7,95;UNMAN
5;1994;5;7,03;UNMAN
6;1995;5;6,2;UNMAN
7;1996;5;3,94;UNMAN
8;1997;5;3,54;UNMAN
9;1998;5;5,61;UNMAN
10;1999;5;5,18;UNMAN
11;2000;5;5,18;UNMAN
12;2001;5;2,74;UNMAN
13;2002;5;2,52;UNMAN
14;2003;5;2,2;UNMAN
15;2004;5;3,93;UNMAN
16;2005;5;2,3;UNMAN
17;2006;5;1,57;UNMAN
18;2007;5;0,94;UNMAN
19;2008;5;2,41;UNMAN
20;2009;5;2,94;UNMAN
21;2010;5;2,68;UNMAN
22;2011;5;2,28;UNMAN
1;1990;6;1,82;UNMAN
2;1991;6;4,82;UNMAN
3;1992;6;0,68;UNMAN
4;1993;6;4,58;UNMAN
5;1994;6;3,75;UNMAN
6;1995;6;2,22;UNMAN
7;1996;6;0,54;UNMAN
8;1997;6;2;UNMAN
9;1998;6;4,8;UNMAN
10;1999;6;4,14;UNMAN
11;2000;6;2,78;UNMAN
12;2001;6;5,04;UNMAN
13;2002;6;4,89;UNMAN
14;2003;6;1,68;UNMAN
15;2004;6;3,68;UNMAN
16;2005;6;1,76;UNMAN
17;2006;6;1;UNMAN
18;2007;6;1,64;UNMAN
19;2008;6;4,24;UNMAN
20;2009;6;5,2;UNMAN
21;2010;6;2,16;UNMAN
22;2011;6;4,69;UNMAN
1;1990;7;2,64;UNMAN
2;1991;7;2,35;UNMAN
3;1992;7;2,47;UNMAN
4;1993;7;1,88;UNMAN
5;1994;7;4;UNMAN
6;1995;7;4,27;UNMAN
7;1996;7;3,02;UNMAN
8;1997;7;2,86;UNMAN
9;1998;7;3,95;UNMAN
10;1999;7;1,74;UNMAN
11;2000;7;0,38;UNMAN
12;2001;7;0,92;UNMAN
13;2002;7;2;UNMAN
14;2003;7;3,06;UNMAN
15;2004;7;3,38;UNMAN
16;2005;7;5,67;UNMAN
17;2006;7;6,2;UNMAN
18;2007;7;2,62;UNMAN
19;2008;7;3,44;UNMAN
20;2009;7;1,18;UNMAN
21;2010;7;2,37;UNMAN
22;2011;7;2,57;UNMAN
1;1990;8;2,73;UNMAN
2;1991;8;4,29;UNMAN
3;1992;8;2,3;UNMAN
4;1993;8;3,33;UNMAN
5;1994;8;6,72;UNMAN
6;1995;8;4,16;UNMAN
7;1996;8;0,84;UNMAN
8;1997;8;1,84;UNMAN
9;1998;8;3,24;UNMAN
10;1999;8;3,66;UNMAN
11;2000;8;3,44;UNMAN
12;2001;8;5,94;UNMAN
13;2002;8;5,6;UNMAN
14;2003;8;3,02;UNMAN
15;2004;8;5,3;UNMAN
16;2005;8;2,06;UNMAN
17;2006;8;0,54;UNMAN
18;2007;8;1;UNMAN
19;2008;8;2,34;UNMAN
20;2009;8;6,13;UNMAN
21;2010;8;2,04;UNMAN
22;2011;8;4,54;UNMAN
1;1990;9;3,66;UNMAN
2;1991;9;3,99;UNMAN
3;1992;9;3,2;UNMAN
4;1993;9;2,12;UNMAN
5;1994;9;6,48;UNMAN
6;1995;9;4,14;UNMAN
7;1996;9;3,04;UNMAN
8;1997;9;3,8;UNMAN
9;1998;9;4,3;UNMAN
10;1999;9;3,3;UNMAN
11;2000;9;7,02;UNMAN
12;2001;9;4,42;UNMAN
13;2002;9;0,9;UNMAN
14;2003;9;0,46;UNMAN
15;2004;9;1,13;UNMAN
16;2005;9;0,55;UNMAN
17;2006;9;0,92;UNMAN
18;2007;9;1,66;UNMAN
19;2008;9;5,14;UNMAN
20;2009;9;1,62;UNMAN
21;2010;9;6,3;UNMAN
22;2011;9;2,04;UNMAN
1;1990;10;2,74;UNMAN
2;1991;10;3,04;UNMAN
3;1992;10;1,46;UNMAN
4;1993;10;2,34;UNMAN
5;1994;10;3,36;UNMAN
6;1995;10;1,32;UNMAN
7;1996;10;0,37;UNMAN
8;1997;10;1,74;UNMAN
9;1998;10;2,44;UNMAN
10;1999;10;1,46;UNMAN
11;2000;10;1,5;UNMAN
12;2001;10;2,56;UNMAN
13;2002;10;2,91;UNMAN
14;2003;10;1,11;UNMAN
15;2004;10;2,38;UNMAN
16;2005;10;1,5;UNMAN
17;2006;10;0,7;UNMAN
18;2007;10;0,42;UNMAN
19;2008;10;2,01;UNMAN
20;2009;10;3,8;UNMAN
21;2010;10;0,62;UNMAN
22;2011;10;1;UNMAN
1;1990;11;1,37;POLLARD
2;1991;11;1,64;POLLARD
3;1992;11;1,3;POLLARD
4;1993;11;0,96;POLLARD
5;1994;11;1,01;POLLARD
6;1995;11;0,52;POLLARD
7;1996;11;0,76;POLLARD
8;1997;11;0,84;POLLARD
9;1998;11;2,14;POLLARD
10;1999;11;1,68;POLLARD
11;2000;11;0,75;POLLARD
12;2001;11;0,58;POLLARD
13;2002;11;0,62;POLLARD
14;2003;11;0,48;POLLARD
15;2004;11;0,6;POLLARD
16;2005;11;0,76;POLLARD
17;2006;11;1,9;POLLARD
18;2007;11;1,82;POLLARD
19;2008;11;2,4;POLLARD
20;2009;11;2,33;POLLARD
21;2010;11;0,72;POLLARD
22;2011;11;3,32;POLLARD
1;1990;12;2,55;POLLARD
2;1991;12;3,36;POLLARD
3;1992;12;2,58;POLLARD
4;1993;12;1,38;POLLARD
5;1994;12;0,94;POLLARD
6;1995;12;0,36;POLLARD
7;1996;12;0,48;POLLARD
8;1997;12;0,81;POLLARD
9;1998;12;1,31;POLLARD
10;1999;12;0,24;POLLARD
11;2000;12;0,5;POLLARD
12;2001;12;0,14;POLLARD
13;2002;12;0,54;POLLARD
14;2003;12;0,38;POLLARD
15;2004;12;0,33;POLLARD
16;2005;12;0,44;POLLARD
17;2006;12;0,26;POLLARD
18;2007;12;0,36;POLLARD
19;2008;12;1,7;POLLARD
20;2009;12;4,36;POLLARD
21;2010;12;1,3;POLLARD
22;2011;12;2,5;POLLARD
1;1990;13;2,24;POLLARD
2;1991;13;2,09;POLLARD
3;1992;13;1,64;POLLARD
4;1993;13;1,8;POLLARD
5;1994;13;3,25;POLLARD
6;1995;13;1,24;POLLARD
7;1996;13;0,31;POLLARD
8;1997;13;1,32;POLLARD
9;1998;13;3,26;POLLARD
10;1999;13;4,32;POLLARD
11;2000;13;0,62;POLLARD
12;2001;13;1,28;POLLARD
13;2002;13;4,76;POLLARD
14;2003;13;2,38;POLLARD
15;2004;13;2,38;POLLARD
16;2005;13;4,86;POLLARD
17;2006;13;1,7;POLLARD
18;2007;13;9,43;POLLARD
19;2008;13;8,84;POLLARD
20;2009;13;6,68;POLLARD
21;2010;13;4,71;POLLARD
22;2011;13;2,99;POLLARD
1;1990;14;2,31;POLLARD
2;1991;14;3,06;POLLARD
3;1992;14;1,6;POLLARD
4;1993;14;1,22;POLLARD
5;1994;14;2,42;POLLARD
6;1995;14;0,94;POLLARD
7;1996;14;0,36;POLLARD
8;1997;14;0,57;POLLARD
9;1998;14;1,38;POLLARD
10;1999;14;1,58;POLLARD
11;2000;14;0,9;POLLARD
12;2001;14;2,42;POLLARD
13;2002;14;2,46;POLLARD
14;2003;14;1,87;POLLARD
15;2004;14;1,88;POLLARD
16;2005;14;0,91;POLLARD
17;2006;14;0,41;POLLARD
18;2007;14;1,04;POLLARD
19;2008;14;2,9;POLLARD
20;2009;14;0,72;POLLARD
21;2010;14;6,48;POLLARD
22;2011;14;5,18;POLLARD
1;1990;15;1,64;POLLARD
